occ_code,task,penetration
29-2035.00,Request sedatives or other medication from physicians for patients with anxiety or claustrophobia.,0.0
29-2034.00,"Provide assistance in dressing or changing seriously ill, injured, or disabled patients.",0.0
29-2034.00,Operate fluoroscope to aid physician to view and guide wire or catheter through blood vessels to area of interest.,0.0
29-2034.00,Assign duties to radiologic staff to maintain patient flows and achieve production goals.,0.0
29-2035.00,"Conduct screening interviews of patients to identify contraindications, such as ferrous objects, pregnancy, prosthetic heart valves, cardiac pacemakers, or tattoos.",0.0
29-2034.00,"Monitor patients' conditions and reactions, reporting abnormal signs to physician.",0.0
29-2041.00,Administer first aid treatment or life support care to sick or injured persons in prehospital settings.,0.0
29-2041.00,"Operate equipment, such as electrocardiograms (EKGs), external defibrillators, or bag valve mask resuscitators, in advanced life support environments.",0.0
29-2041.00,"Perform emergency diagnostic and treatment procedures, such as stomach suction, airway management, or heart monitoring, during ambulance ride.",0.0
29-2041.00,"Observe, record, and report to physician the patient's condition or injury, the treatment provided, and reactions to drugs or treatment.",0.0
29-2041.00,Assess nature and extent of illness or injury to establish and prioritize medical procedures.,0.0
29-2033.00,Perform quality control checks on laboratory equipment or cameras.,0.0
29-2032.00,Supervise or train students or other medical sonographers.,0.0
29-2032.00,"Perform medical procedures, such as administering oxygen, inserting and removing airways, taking vital signs, or giving emergency treatment, such as first aid or cardiopulmonary resuscitation (CPR).",0.0
29-2032.00,"Maintain stock and supplies, preparing supplies for special examinations and ordering supplies when necessary.",0.0
29-2032.00,Process and code film from procedures and complete appropriate documentation.,0.0
29-2032.00,Load and unload film cassettes used to record images from procedures.,0.0
29-2033.00,"Administer radiopharmaceuticals or radiation intravenously to detect or treat diseases, using radioisotope equipment, under direction of a physician.",0.0
29-2033.00,"Detect and map radiopharmaceuticals in patients' bodies, using a camera to produce photographic or computer images.",0.0
29-2033.00,"Process cardiac function studies, using computer.",0.0
29-2053.00,Lead prescribed individual or group therapy sessions as part of specific therapeutic procedures.,0.0
29-2053.00,"Take and record measures of patients' physical condition, using devices such as thermometers or blood pressure gauges.",0.0
29-2053.00,Monitor patients' physical and emotional well-being and report unusual behavior or physical ailments to medical staff.,0.0
29-2053.00,"Provide nursing, psychiatric, or personal care to mentally ill, emotionally disturbed, or mentally retarded patients.",0.0
29-2053.00,"Observe and influence patients' behavior, communicating and interacting with them and teaching, counseling, or befriending them.",0.0
29-2052.00,Price stock and mark items for sale.,0.0
29-2055.00,Maintain a proper sterile field during surgical procedures.,0.0
29-2055.00,"Count sponges, needles, and instruments before and after operation.",0.0
29-2055.00,"Scrub arms and hands and assist the surgical team to scrub and put on gloves, masks, and surgical clothing.",0.0
29-2055.00,"Provide technical assistance to surgeons, surgical nurses, or anesthesiologists.",0.0
29-2052.00,Maintain and merchandise home healthcare products or services.,0.0
29-2052.00,"Deliver medications or pharmaceutical supplies to patients, nursing stations, or surgery.",0.0
29-2052.00,"Prepack bulk medicines, fill bottles with prescribed medications, and type and affix labels.",0.0
29-2051.00,"Prepare a major meal, following recipes and determining group food quantities.",0.0
29-2051.00,Supervise food production or service or assist dietitians or nutritionists in food service supervision or planning.,0.0
29-2051.00,"Analyze menus or recipes, standardize recipes, or test new products.",0.0
29-2011.02,"Prepare cell samples by applying special staining techniques, such as chromosomal staining, to differentiate cells or cell components.",0.0
29-2011.01,"Identify appropriate methods of specimen collection, preservation, or transport.",0.0
29-2011.01,Archive case documentation and study materials as required by regulations and laws.,0.0
29-2011.01,Supervise subordinate laboratory staff.,0.0
29-2011.01,"Maintain laboratory equipment such as photomicroscopes, inverted microscopes, and standard darkroom equipment.",0.0
29-2011.02,Submit slides with abnormal cell structures to pathologists for further examination.,0.0
29-2011.02,Provide patient clinical data or microscopic findings to assist pathologists in the preparation of pathology reports.,0.0
29-2011.03,Stain tissue specimens with dyes or other chemicals to make cell details visible under microscopes.,0.0
29-2011.03,Mount tissue specimens on glass slides.,0.0
29-2011.03,Examine slides under microscopes to ensure tissue preparation meets laboratory requirements.,0.0
29-2011.03,Freeze tissue specimens.,0.0
29-2012.00,"Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.",0.0
29-2012.00,"Analyze the results of tests or experiments to ensure conformity to specifications, using special mechanical or electrical devices.",0.0
29-2012.00,"Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.",0.0
29-2012.00,"Collect blood or tissue samples from patients, observing principles of asepsis to obtain blood sample.",0.0
29-2031.00,"Conduct tests of pulmonary system, using spirometer or other respiratory testing equipment.",0.0
29-2031.00,"Check, test, and maintain cardiology equipment, making minor repairs when necessary, to ensure proper operation.",0.0
29-2031.00,Supervise or train other cardiology technologists or students.,0.0
29-2021.00,Maintain dental equipment and sharpen and sterilize dental instruments.,0.0
29-2021.00,"Clean calcareous deposits, accretions, and stains from teeth and beneath margins of gums, using dental instruments.",0.0
